Employee Code,AttendanceDate,InTime, OutTime
32,5/17/2017,00:00,00:00
36,5/17/2017,11:38,11:38
37,5/17/2017,09:35,09:35
38,5/17/2017,00:00,00:00
39,5/17/2017,09:28,18:20
40,5/17/2017,00:00,00:00
42,5/17/2017,00:00,00:00
43,5/17/2017,09:27,18:02
44,5/17/2017,13:01,13:01
45,5/17/2017,00:00,00:00
46,5/17/2017,09:56,09:56
47,5/17/2017,10:02,19:42
48,5/17/2017,09:29,18:30
49,5/17/2017,12:55,21:02
50,5/17/2017,00:00,00:00
51,5/17/2017,09:56,18:30
52,5/17/2017,19:00,03:30
T1,5/17/2017,00:00,00:00
T2,5/17/2017,00:00,00:00
T3,5/17/2017,00:00,00:00
1,5/16/2017,00:00,00:00
2,5/16/2017,09:41,17:19
3,5/16/2017,00:00,00:00
4,5/16/2017,11:32,02:59
5,5/16/2017,09:26,19:07
6,5/16/2017,09:36,17:12
8,5/16/2017,08:58,19:07
13,5/16/2017,00:00,00:00
14,5/16/2017,12:51,12:51
15,5/16/2017,10:08,18:56
18,5/16/2017,09:44,17:32
21,5/16/2017,00:00,00:00
22,5/16/2017,09:53,18:55
24,5/16/2017,09:36,17:53
26,5/16/2017,00:00,00:00
29,5/16/2017,18:57,03:40
30,5/16/2017,00:00,00:00
31,5/16/2017,00:00,00:00
32,5/16/2017,00:00,00:00
36,5/16/2017,11:29,21:26
37,5/16/2017,09:27,09:27
38,5/16/2017,00:00,00:00
39,5/16/2017,00:00,00:00
40,5/16/2017,00:00,00:00
42,5/16/2017,00:00,00:00
43,5/16/2017,00:00,00:00
44,5/16/2017,11:52,11:53
45,5/16/2017,09:19,09:19
46,5/16/2017,00:00,00:00
47,5/16/2017,10:09,21:12
48,5/16/2017,09:17,18:47
49,5/16/2017,09:27,18:01
50,5/16/2017,00:00,00:00
51,5/16/2017,07:53,07:53
52,5/16/2017,18:57,03:31
T1,5/16/2017,00:00,00:00
T2,5/16/2017,00:00,00:00
T3,5/16/2017,00:00,00:00
1,5/15/2017,10:03,10:03
2,5/15/2017,09:52,18:26
3,5/15/2017,11:27,11:27
4,5/15/2017,02:59,02:57
5,5/15/2017,09:50,18:32
6,5/15/2017,09:36,17:11
8,5/15/2017,09:13,18:30
13,5/15/2017,00:00,00:00
14,5/15/2017,10:03,18:33
15,5/15/2017,09:59,18:18
18,5/15/2017,09:39,17:36
21,5/15/2017,09:19,09:19
22,5/15/2017,09:46,19:28
24,5/15/2017,09:44,17:51
26,5/15/2017,09:20,19:29
29,5/15/2017,19:12,03:51
30,5/15/2017,00:00,00:00
31,5/15/2017,00:00,00:00
32,5/15/2017,00:00,00:00
36,5/15/2017,12:09,02:55
37,5/15/2017,09:21,09:21
38,5/15/2017,00:00,00:00
39,5/15/2017,00:00,00:00
40,5/15/2017,10:48,10:48
42,5/15/2017,00:00,00:00
43,5/15/2017,09:16,19:29
44,5/15/2017,10:28,19:29
45,5/15/2017,09:18,19:29
46,5/15/2017,00:00,00:00
47,5/15/2017,09:41,19:34
48,5/15/2017,09:13,17:55
49,5/15/2017,09:26,20:07
50,5/15/2017,00:00,00:00
51,5/15/2017,00:00,00:00
52,5/15/2017,00:00,00:00
T1,5/15/2017,00:00,00:00
T2,5/15/2017,00:00,00:00
T3,5/15/2017,00:00,00:00
1,5/14/2017,00:00,00:00
2,5/14/2017,00:00,00:00
3,5/14/2017,19:06,03:29
4,5/14/2017,00:00,00:00
5,5/14/2017,09:51,17:37
6,5/14/2017,00:00,00:00
8,5/14/2017,00:00,00:00
